日付,都道府県コード,搬送人員（計）,年齢区分：新生児,年齢区分：乳幼児,年齢区分：少年,年齢区分：成人,年齢区分：高齢者,年齢区分：不明,傷病程度：死亡,傷病程度：重症,傷病程度：中等症,傷病程度：軽症,傷病程度：その他
2014/6/1,1,9,0,0,3,4,2,0,0,0,2,6,1
2014/6/1,2,2,0,0,0,1,1,0,0,0,1,1,0
2014/6/1,3,10,0,0,1,5,4,0,0,0,6,4,0
2014/6/1,4,11,0,0,4,4,3,0,0,0,5,6,0
2014/6/1,5,4,0,0,1,0,3,0,0,0,1,2,1
2014/6/1,6,5,0,0,1,1,3,0,0,0,1,4,0
2014/6/1,7,8,0,0,2,3,3,0,0,0,2,6,0
2014/6/1,8,15,0,0,2,6,7,0,0,0,1,14,0
2014/6/1,9,8,0,0,0,3,5,0,0,0,3,5,0
2014/6/1,10,14,0,0,5,6,3,0,0,1,3,10,0
2014/6/1,11,41,0,0,14,12,15,0,0,1,8,32,0
2014/6/1,12,37,0,0,10,15,12,0,0,0,6,31,0
2014/6/1,13,60,0,1,20,21,18,0,0,4,12,44,0
2014/6/1,14,19,0,0,4,7,8,0,0,0,9,10,0
2014/6/1,15,13,0,0,3,3,7,0,1,0,4,8,0
2014/6/1,16,10,0,0,4,3,3,0,0,1,2,7,0
2014/6/1,17,3,0,0,1,0,2,0,0,0,0,3,0
2014/6/1,18,9,0,0,0,5,4,0,0,0,4,5,0
2014/6/1,19,11,0,0,3,5,3,0,0,1,2,8,0
2014/6/1,20,15,0,0,1,4,10,0,0,0,12,3,0
2014/6/1,21,11,0,0,1,2,8,0,0,0,4,7,0
2014/6/1,22,11,0,0,1,3,7,0,0,0,2,9,0
2014/6/1,23,57,0,1,10,21,25,0,1,2,15,39,0
2014/6/1,24,16,0,0,3,6,7,0,0,0,1,14,1
2014/6/1,25,10,0,2,0,4,4,0,0,0,0,10,0
2014/6/1,26,16,0,1,3,3,9,0,0,1,1,14,0
2014/6/1,27,60,0,0,21,15,24,0,0,0,11,49,0
2014/6/1,28,31,0,0,6,13,12,0,0,1,4,26,0
2014/6/1,29,8,0,0,3,3,2,0,0,0,3,5,0
2014/6/1,30,13,0,0,7,4,2,0,0,1,0,12,0
2014/6/1,31,4,0,0,2,0,2,0,0,0,0,4,0
2014/6/1,32,3,0,0,0,1,2,0,0,0,2,1,0
2014/6/1,33,18,0,0,2,4,12,0,0,0,1,17,0
2014/6/1,34,15,0,0,3,2,10,0,0,1,4,10,0
2014/6/1,35,7,0,0,2,3,2,0,0,0,1,6,0
2014/6/1,36,6,0,0,1,3,2,0,0,0,1,4,1
2014/6/1,37,1,0,0,0,0,1,0,0,0,1,0,0
2014/6/1,38,12,0,1,3,4,4,0,0,0,2,10,0
2014/6/1,39,4,0,0,0,2,2,0,0,0,0,4,0
2014/6/1,40,25,0,1,12,7,5,0,0,1,8,16,0
2014/6/1,41,4,0,0,2,0,2,0,0,0,1,3,0
2014/6/1,42,9,0,0,3,4,2,0,0,0,3,6,0
2014/6/1,43,11,0,0,1,4,6,0,0,0,3,8,0
2014/6/1,44,5,0,0,1,1,3,0,0,0,2,3,0
2014/6/1,45,3,0,0,0,2,1,0,0,0,2,1,0
2014/6/1,46,3,0,0,1,2,0,0,0,0,0,3,0
2014/6/1,47,,0,0,0,0,0,0,0,0,0,0,0
2014/6/2,1,13,0,0,2,4,7,0,0,0,2,11,0
2014/6/2,2,5,0,0,0,2,3,0,0,0,1,4,0
2014/6/2,3,4,0,0,0,3,1,0,0,0,2,2,0
2014/6/2,4,5,0,0,0,2,3,0,0,0,5,0,0
2014/6/2,5,6,0,0,0,1,5,0,0,0,4,1,1
2014/6/2,6,5,0,0,1,0,4,0,0,0,3,2,0
2014/6/2,7,14,0,1,1,3,9,0,0,1,5,8,0
2014/6/2,8,7,0,0,0,2,5,0,0,1,5,1,0
2014/6/2,9,8,0,0,0,3,5,0,0,0,3,5,0
2014/6/2,10,10,0,0,0,5,5,0,0,0,4,6,0
2014/6/2,11,33,0,0,13,8,12,0,0,0,7,26,0
2014/6/2,12,8,0,0,1,2,5,0,0,0,2,6,0
2014/6/2,13,47,0,0,6,11,30,0,0,2,21,24,0
2014/6/2,14,31,0,1,18,2,10,0,0,1,11,19,0
2014/6/2,15,16,0,0,5,4,7,0,0,0,4,11,1
2014/6/2,16,1,0,0,0,1,0,0,0,0,0,1,0
2014/6/2,17,4,0,0,0,3,1,0,0,0,0,4,0
2014/6/2,18,2,0,0,0,1,1,0,0,0,0,2,0
2014/6/2,19,7,0,0,1,1,5,0,0,2,2,3,0
2014/6/2,20,14,0,1,1,3,9,0,1,0,3,9,1
2014/6/2,21,11,0,0,2,6,3,0,0,0,3,8,0
2014/6/2,22,10,0,0,1,4,5,0,0,0,3,7,0
2014/6/2,23,29,0,2,1,14,12,0,0,1,5,23,0
2014/6/2,24,3,0,0,0,2,1,0,0,0,0,2,1
2014/6/2,25,6,0,0,0,1,5,0,0,1,2,3,0
2014/6/2,26,14,0,0,2,7,5,0,0,0,3,11,0
2014/6/2,27,21,0,0,2,5,14,0,0,0,5,16,0
2014/6/2,28,22,0,0,9,6,7,0,0,0,3,19,0
2014/6/2,29,5,0,0,0,0,5,0,0,1,2,2,0
2014/6/2,30,2,0,0,0,1,1,0,0,0,0,2,0
