日付,都道府県コード,搬送人員（計）,年齢区分：新生児,年齢区分：乳幼児,年齢区分：少年,年齢区分：成人,年齢区分：高齢者,年齢区分：不明,傷病程度：死亡,傷病程度：重症,傷病程度：中等症,傷病程度：軽症,傷病程度：その他
2008/7/1,1,2,0,0,2,0,0,0,0,0,0,2,0
2008/7/2,1,4,0,0,0,3,1,0,0,0,1,3,0
2008/7/3,1,0,0,0,0,0,0,0,0,0,0,0,0
2008/7/4,1,0,0,0,0,0,0,0,0,0,0,0,0
2008/7/5,1,12,0,0,4,3,5,0,0,0,5,7,0
2008/7/6,1,24,0,0,3,8,13,0,1,0,5,17,1
2008/7/7,1,1,0,0,0,1,0,0,0,0,1,0,0
2008/7/8,1,6,0,0,2,2,2,0,0,0,1,5,0
2008/7/9,1,1,0,0,0,0,1,0,0,0,1,0,0
2008/7/10,1,1,0,0,0,1,0,0,0,0,0,1,0
2008/7/11,1,2,0,0,0,0,2,0,0,0,2,0,0
2008/7/12,1,1,0,0,0,1,0,0,0,0,0,1,0
2008/7/13,1,1,0,0,0,1,0,0,0,0,0,1,0
2008/7/14,1,2,0,1,0,0,1,0,0,0,1,1,0
2008/7/15,1,4,0,0,3,1,0,0,0,0,0,4,0
2008/7/16,1,2,0,0,0,0,2,0,0,0,0,2,0
2008/7/17,1,1,0,0,1,0,0,0,0,0,0,1,0
2008/7/18,1,2,0,0,0,2,0,0,0,0,0,2,0
2008/7/19,1,8,0,0,2,3,3,0,0,1,1,6,0
2008/7/20,1,1,0,0,1,0,0,0,0,0,0,1,0
2008/7/21,1,5,0,2,0,0,3,0,0,0,2,3,0
2008/7/22,1,0,0,0,0,0,0,0,0,0,0,0,0
2008/7/23,1,3,0,0,0,2,1,0,0,0,2,1,0
2008/7/24,1,4,0,0,0,2,2,0,0,0,1,3,0
2008/7/25,1,3,0,0,0,2,1,0,0,0,0,3,0
2008/7/26,1,1,0,0,0,1,0,0,0,0,0,1,0
2008/7/27,1,8,0,0,3,4,1,0,0,0,2,6,0
2008/7/28,1,1,0,0,0,1,0,0,0,0,1,0,0
2008/7/29,1,6,0,0,1,3,2,0,0,0,0,6,0
2008/7/30,1,2,0,0,0,0,2,0,0,0,0,2,0
2008/7/31,1,3,0,1,0,1,1,0,0,0,2,1,0
2008/7/1,2,1,0,0,0,0,1,0,0,0,1,0,0
2008/7/2,2,0,0,0,0,0,0,0,0,0,0,0,0
2008/7/3,2,1,0,0,0,1,0,0,0,0,0,1,0
2008/7/4,2,0,0,0,0,0,0,0,0,0,0,0,0
2008/7/5,2,1,0,0,0,1,0,0,0,0,0,1,0
2008/7/6,2,15,0,0,4,8,3,0,0,1,7,7,0
2008/7/7,2,1,0,0,0,0,1,0,0,0,1,0,0
2008/7/8,2,2,0,0,0,1,1,0,0,0,2,0,0
2008/7/9,2,1,0,0,0,0,1,0,0,0,1,0,0
2008/7/10,2,1,0,0,0,1,0,0,0,0,0,1,0
2008/7/11,2,0,0,0,0,0,0,0,0,0,0,0,0
2008/7/12,2,1,0,0,0,0,1,0,0,0,1,0,0
2008/7/13,2,2,0,0,1,1,0,0,0,0,1,0,1
2008/7/14,2,0,0,0,0,0,0,0,0,0,0,0,0
2008/7/15,2,2,0,0,0,1,1,0,0,1,1,0,0
2008/7/16,2,0,0,0,0,0,0,0,0,0,0,0,0
