日付,都道府県コード,搬送人員（計）,年齢区分：新生児,年齢区分：乳幼児,年齢区分：少年,年齢区分：成人,年齢区分：高齢者,年齢区分：不明,傷病程度：死亡,傷病程度：重症,傷病程度：中等症,傷病程度：軽症,傷病程度：その他
2009/7/1,1,0,0,0,0,0,0,0,0,0,0,0,0
2009/7/1,2,0,0,0,0,0,0,0,0,0,0,0,0
2009/7/1,3,0,0,0,0,0,0,0,0,0,0,0,0
2009/7/1,4,0,0,0,0,0,0,0,0,0,0,0,0
2009/7/1,5,1,0,0,0,0,1,0,0,0,1,0,0
2009/7/1,6,0,0,0,0,0,0,0,0,0,0,0,0
2009/7/1,7,0,0,0,0,0,0,0,0,0,0,0,0
2009/7/1,8,0,0,0,0,0,0,0,0,0,0,0,0
2009/7/1,9,0,0,0,0,0,0,0,0,0,0,0,0
2009/7/1,10,0,0,0,0,0,0,0,0,0,0,0,0
2009/7/1,11,2,0,0,0,2,0,0,0,0,0,2,0
2009/7/1,12,1,0,0,0,1,0,0,0,0,0,1,0
2009/7/1,13,0,0,0,0,0,0,0,0,0,0,0,0
2009/7/1,14,0,0,0,0,0,0,0,0,0,0,0,0
2009/7/1,15,2,0,1,0,1,0,0,0,0,0,2,0
2009/7/1,16,0,0,0,0,0,0,0,0,0,0,0,0
2009/7/1,17,0,0,0,0,0,0,0,0,0,0,0,0
2009/7/1,18,0,0,0,0,0,0,0,0,0,0,0,0
2009/7/1,19,0,0,0,0,0,0,0,0,0,0,0,0
2009/7/1,20,1,0,0,0,0,1,0,0,0,1,0,0
2009/7/1,21,0,0,0,0,0,0,0,0,0,0,0,0
2009/7/1,22,4,0,0,1,2,1,0,0,0,1,3,0
2009/7/1,23,15,0,0,0,7,8,0,0,0,3,12,0
2009/7/1,24,3,0,0,0,3,0,0,0,0,1,2,0
2009/7/1,25,1,0,0,0,1,0,0,0,0,0,1,0
2009/7/1,26,1,0,0,0,0,1,0,0,0,0,1,0
2009/7/1,27,10,0,0,1,5,4,0,0,0,1,9,0
2009/7/1,28,2,0,0,0,2,0,0,0,0,0,2,0
2009/7/1,29,2,0,0,1,1,0,0,0,0,0,2,0
2009/7/1,30,0,0,0,0,0,0,0,0,0,0,0,0
2009/7/1,31,0,0,0,0,0,0,0,0,0,0,0,0
2009/7/1,32,0,0,0,0,0,0,0,0,0,0,0,0
2009/7/1,33,1,0,0,0,0,1,0,0,0,1,0,0
2009/7/1,34,0,0,0,0,0,0,0,0,0,0,0,0
2009/7/1,35,0,0,0,0,0,0,0,0,0,0,0,0
2009/7/1,36,4,0,0,1,1,2,0,0,0,1,3,0
2009/7/1,37,1,0,0,0,1,0,0,0,0,1,0,0
2009/7/1,38,1,0,0,0,0,1,0,0,0,1,0,0
2009/7/1,39,0,0,0,0,0,0,0,0,0,0,0,0
2009/7/1,40,0,0,0,0,0,0,0,0,0,0,0,0
2009/7/1,41,0,0,0,0,0,0,0,0,0,0,0,0
2009/7/1,42,0,0,0,0,0,0,0,0,0,0,0,0
2009/7/1,43,1,0,0,0,1,0,0,0,0,0,1,0
2009/7/1,44,2,0,0,0,1,1,0,0,0,1,1,0
2009/7/1,45,1,0,0,0,0,1,0,0,0,1,0,0
2009/7/1,46,1,0,0,0,1,0,0,0,0,0,1,0
2009/7/1,47,6,0,1,0,5,0,0,0,0,1,5,0
2009/7/2,1,0,0,0,0,0,0,0,0,0,0,0,0
2009/7/2,2,0,0,0,0,0,0,0,0,0,0,0,0
2009/7/2,3,0,0,0,0,0,0,0,0,0,0,0,0
2009/7/2,4,1,0,0,1,0,0,0,0,0,0,1,0
2009/7/2,5,0,0,0,0,0,0,0,0,0,0,0,0
2009/7/2,6,0,0,0,0,0,0,0,0,0,0,0,0
2009/7/2,7,0,0,0,0,0,0,0,0,0,0,0,0
2009/7/2,8,0,0,0,0,0,0,0,0,0,0,0,0
2009/7/2,9,0,0,0,0,0,0,0,0,0,0,0,0
2009/7/2,10,0,0,0,0,0,0,0,0,0,0,0,0
2009/7/2,11,0,0,0,0,0,0,0,0,0,0,0,0
2009/7/2,12,0,0,0,0,0,0,0,0,0,0,0,0
2009/7/2,13,0,0,0,0,0,0,0,0,0,0,0,0
2009/7/2,14,0,0,0,0,0,0,0,0,0,0,0,0
2009/7/2,15,0,0,0,0,0,0,0,0,0,0,0,0
2009/7/2,16,0,0,0,0,0,0,0,0,0,0,0,0
2009/7/2,17,2,0,0,0,1,1,0,0,0,1,1,0
2009/7/2,18,0,0,0,0,0,0,0,0,0,0,0,0
2009/7/2,19,0,0,0,0,0,0,0,0,0,0,0,0
2009/7/2,20,0,0,0,0,0,0,0,0,0,0,0,0
2009/7/2,21,0,0,0,0,0,0,0,0,0,0,0,0
2009/7/2,22,0,0,0,0,0,0,0,0,0,0,0,0
2009/7/2,23,5,0,1,0,2,2,0,0,0,3,2,0
2009/7/2,24,1,0,1,0,0,0,0,0,0,0,1,0
2009/7/2,25,0,0,0,0,0,0,0,0,0,0,0,0
2009/7/2,26,2,0,1,0,1,0,0,0,0,0,2,0
2009/7/2,27,2,0,0,0,1,1,0,0,0,1,1,0
2009/7/2,28,2,0,0,0,0,2,0,0,0,1,1,0
2009/7/2,29,0,0,0,0,0,0,0,0,0,0,0,0
2009/7/2,30,0,0,0,0,0,0,0,0,0,0,0,0
2009/7/2,31,0,0,0,0,0,0,0,0,0,0,0,0
2009/7/2,32,1,0,0,0,0,1,0,0,0,0,1,0
2009/7/2,33,1,0,0,0,1,0,0,0,0,0,1,0
2009/7/2,34,0,0,0,0,0,0,0,0,0,0,0,0
2009/7/2,35,0,0,0,0,0,0,0,0,0,0,0,0
2009/7/2,36,0,0,0,0,0,0,0,0,0,0,0,0
2009/7/2,37,0,0,0,0,0,0,0,0,0,0,0,0
2009/7/2,38,1,0,0,0,0,1,0,0,0,0,1,0
2009/7/2,39,0,0,0,0,0,0,0,0,0,0,0,0
2009/7/2,40,0,0,0,0,0,0,0,0,0,0,0,0
2009/7/2,41,0,0,0,0,0,0,0,0,0,0,0,0
2009/7/2,42,0,0,0,0,0,0,0,0,0,0,0,0
2009/7/2,43,0,0,0,0,0,0,0,0,0,0,0,0
2009/7/2,44,0,0,0,0,0,0,0,0,0,0,0,0
2009/7/2,45,0,0,0,0,0,0,0,0,0,0,0,0
2009/7/2,46,0,0,0,0,0,0,0,0,0,0,0,0
2009/7/2,47,4,0,0,0,2,2,0,0,1,1,2,0
2009/7/3,1,0,0,0,0,0,0,0,0,0,0,0,0
2009/7/3,2,0,0,0,0,0,0,0,0,0,0,0,0
2009/7/3,3,1,0,0,0,0,1,0,0,0,0,1,0
2009/7/3,4,1,0,0,0,1,0,0,0,0,1,0,0
2009/7/3,5,0,0,0,0,0,0,0,0,0,0,0,0
2009/7/3,6,0,0,0,0,0,0,0,0,0,0,0,0
2009/7/3,7,0,0,0,0,0,0,0,0,0,0,0,0
2009/7/3,8,1,0,0,0,0,1,0,0,0,1,0,0
2009/7/3,9,1,0,0,0,1,0,0,0,0,1,0,0
2009/7/3,10,0,0,0,0,0,0,0,0,0,0,0,0
2009/7/3,11,1,0,0,0,1,0,0,0,0,0,1,0
2009/7/3,12,1,0,0,1,0,0,0,0,0,0,1,0
2009/7/3,13,0,0,0,0,0,0,0,0,0,0,0,0
2009/7/3,14,0,0,0,0,0,0,0,0,0,0,0,0
2009/7/3,15,1,0,0,0,0,1,0,0,0,0,1,0
2009/7/3,16,0,0,0,0,0,0,0,0,0,0,0,0
2009/7/3,17,0,0,0,0,0,0,0,0,0,0,0,0
