年月日,最高気温,平均蒸気圧,平均雲量,平均風速,降水量の合計,日照時間
2008/5/1,23.2,14.1,10,2.6,0,2.3
2008/5/2,24,14.6,10,8.1,0,0.9
2008/5/3,29.5,14.7,2,2.9,0,12.4
2008/5/4,25.2,17.2,5,3.9,0,10.1
2008/5/5,21.7,17,9.8,3.1,0,0
2008/5/6,23.1,9.5,3,2.6,0,12.3
2008/5/7,23.5,11.4,0.5,2.9,0,11.6
2008/5/8,26.9,12.7,9.3,2.6,0,8.9
2008/5/9,22.2,9.7,10,5.2,0,0.4
2008/5/10,17.3,11.9,10,3.9,24,0
2008/5/11,18.1,10.9,8.8,3.4,2.5,2.2
2008/5/12,20.4,10.5,6.5,6.7,0,10.4
2008/5/13,20.9,13.5,9.3,4,26,3.2
2008/5/14,20.6,12.5,3.5,4.3,9.5,10.5
2008/5/15,22.2,10.2,3.8,2.9,0,12.9
2008/5/16,24,13,5,2.9,0,12.4
2008/5/17,24.2,13.8,3.8,2.5,0,9.7
2008/5/18,24.8,14.2,4.5,4.2,0,9.4
2008/5/19,22.5,15.9,10,3.4,8.5,0.3
2008/5/20,22.3,14.5,7.5,4.6,11.5,6
2008/5/21,23.6,12.3,5.8,2.6,0,12.3
2008/5/22,24.5,17.7,8.5,2.7,0,6.5
2008/5/23,26.8,18.5,10,3,0,11
2008/5/24,22.2,19.2,10,4.4,41,0
2008/5/25,23,21.1,10,2.5,26,1.3
2008/5/26,28.5,19.1,5.5,3.3,0,11.9
2008/5/27,26.4,11.4,1.8,2.6,0,12.9
2008/5/28,26.1,17,10,4.7,7.5,6.5
2008/5/29,25,18.2,7.3,9.4,16,5.3
2008/5/30,24.5,17.1,9.5,5.7,0,0.7
2008/5/31,20.7,17.6,10,4.5,0.5,0.2
2008/6/1,25.7,15.2,7.3,2.4,0,10.5
2008/6/2,21.3,17.2,10,6.2,16,0
2008/6/3,22.3,16.3,10,5.9,19.5,1.6
2008/6/4,25.8,16.3,10,3.5,0,4.1
2008/6/5,24.3,18.9,10,5.7,29,1.5
2008/6/6,25.8,17.7,8,2.9,0,9.6
2008/6/7,25.3,19.2,10,2.7,1,4.9
2008/6/8,26.2,20.9,10,3.2,3.5,5.7
2008/6/9,26.9,20,6,2.7,0.5,2.9
2008/6/10,27,19.9,7.5,3.2,0,9
2008/6/11,26.1,21.6,10,2.8,3,0
2008/6/12,27.6,14.3,8.8,3.6,3.5,8.3
2008/6/13,27.1,13.4,0,2.7,0,13.6
2008/6/14,28.1,16.1,10,3.2,0,6
2008/6/15,23.1,15.9,10,3.5,8.5,0
2008/6/16,27.9,19.6,7.3,4.7,1,10.7
2008/6/17,27.9,19.9,8.8,2.4,0,10.8
2008/6/18,26.7,21.4,10,3,0,1.1
2008/6/19,25.7,23.9,10,2.4,1,0
2008/6/20,27.6,27.7,10,2.4,6.5,0.1
2008/6/21,27.6,26.5,10,2.2,6,2
2008/6/22,27.1,26.3,10,2.2,24.5,1.1
2008/6/23,23,20.4,8.3,2.5,0,0
2008/6/24,26.8,20.6,9,2.4,0,4.8
2008/6/25,27.6,22,10,2.4,0,1.3
2008/6/26,26.8,20.9,10,3.2,0,0.5
2008/6/27,28.1,20.1,9.8,3.3,0,6.8
2008/6/28,26.4,24.1,10,3.2,1,0
2008/6/29,26.1,27.5,9,4.5,13,0
2008/6/30,27,20,8.3,3.8,0,7.1
2008/7/1,27.2,20.5,10,2.9,0,9.3
2008/7/2,28.6,22.9,10,3.7,0,4.8
2008/7/3,30.4,26.9,9.3,3.5,14,5.6
2008/7/4,31.9,26.9,7,3.7,0,11.7
2008/7/5,30,27.9,9.5,3.4,0,9.4
2008/7/6,31.4,28.4,9.5,2.4,0,2.3
2008/7/7,30.7,28.6,10,3.4,0,8
2008/7/8,28.8,27.3,8.3,2.4,7.5,3.9
2008/7/9,29.9,25.1,10,3.9,0,6.4
2008/7/10,29,26.1,9.5,3,0,6.3
2008/7/11,29.3,26.7,8.5,3,0,2.7
2008/7/12,31.4,27.6,6,2.8,0,11.3
2008/7/13,33,26.9,9.3,2.8,0,8.1
2008/7/14,31.4,27.6,9.5,3.4,0,7.2
2008/7/15,32,27.7,9.5,2.9,0,6.5
2008/7/16,30.4,27,9.3,3.6,0,4.3
2008/7/17,31.9,28.7,8,3.2,0,7.8
2008/7/18,32.8,31.5,9,3.2,7,4.5
2008/7/19,32.7,29.4,8.3,2.7,0,10.7
2008/7/20,34.6,28.1,2.3,3.2,0,13.1
2008/7/21,32.1,26.4,0.5,3.6,0,12.5
2008/7/22,32.7,27.2,4.5,3.6,0,12
2008/7/23,32.8,28.3,5.8,3.2,0,10.6
2008/7/24,33.2,29.6,5.8,3.2,0,12.2
2008/7/25,34.3,29.8,2,3.2,0,11.5
2008/7/26,32.6,30.1,2.5,3,0,12.4
2008/7/27,33.2,31.4,5.3,4,0,11.9
2008/7/28,33,29.9,9.8,3.8,35,6.9
2008/7/29,28.4,28.9,8.3,2.3,1,2
2008/7/30,32.1,28.4,4,2.6,0,7.1
2008/7/31,31.4,26.7,7.3,2.4,0,5.9
2008/8/1,32,30.6,8.3,2.9,0,8.8
2008/8/2,32.8,31.2,9.5,2.9,0,7.2
2008/8/3,32.3,31.8,4.3,3.4,0,9.3
2008/8/4,34.7,30,6.8,3.1,0,8.5
2008/8/5,34.2,28.7,6.3,3.4,0,8.6
2008/8/6,34.3,29,10,4.2,12,7.1
2008/8/7,33.4,29.7,7.5,4.8,0,7.1
2008/8/8,33.2,30.6,10,2.7,0,3.7
2008/8/9,33.2,29.7,7.3,2.7,0,8.5
2008/8/10,33.8,28.1,4,3.5,0,11.9
2008/8/11,33.4,28.8,2.5,3.2,0,12.7
2008/8/12,32.4,29.6,2.8,3.2,0,12.5
